Unnamed: 0,nom,desc,accroche,visuel,producteur,contenance,deg_alcool,pays,region,appellation,millesime,accords,gout,caractere,couleur,temp_serv,type_produit,bio,prix,reco1,reco2,reco3,reco4,local_visuel
0,Le Bal des Papillons 2024 - Horgelus,"Élaborée avec soin dans le respect des traditions et la quête de lexcellence, cette cuvée incarne lesprit aérien et raffiné du Bal des Papillons. La cuvée Le Bal des Papillons 2024 est le reflet du savoir-faire de la maison Horgelus et de lesprit même de lévénement éponyme : une rencontre entre élégance, raffinement et plaisir.",Plongez dans un univers de légèreté et délégance avec la cuvée Le Bal des Papillons 2024 de Horgelus.,95769-fine_default/le-bal-des-papillons-2024-horgelus.png,Horgelus,0.75,11.0,France,Sud-Ouest,Côtes de Gascogne,2024,"['Apéritif', 'Entrée', 'Foie gras', 'Fromage', 'Dessert fruité']","Une harmonie parfaite entre vivacité et douceur, avec une finale élégante et fruitée qui laisse une impression de légèreté.","Blanc Demi-sec, moelleux et liquoreux",Blanc,8-10°C,Vin,,8.6,Colombard-Sauvignon 2024 - Horgelus,N°3 - Colombard-Sauvignon Blanc 2024 - UBY,Gros-Manseng & Sauvignon 2024 - Horgelus,N°2 - Chardonnay - Chenin Blanc  2024 - UBY,images/00000.png
1,Lupo Meraviglia Tre di Tre 2022 - Botter,"Historiquement, la vinification dans les Pouilles impliquait l'utilisation de meules de pierre pendant le processus de fermentation. Aujourd'hui, les raisins sont vinifiés à l'intérieur de meules ""modernes"". Le vin obtenu présente des arômes de fruits rouges frais et confiturés, qui se fondent avec des notes épicées. A la dégustation, il montre une grande structure, concentration et une persistance à l'agréable finale.",Une étoile montante des Pouilles vinifiée selon les méthodes traditionnelles !,80831-fine_default/lupo-meraviglia-tre-di-tre-2022-botter.png,Botter,0.75,14.5,Italie,Pouilles,Puglia,2022,"['Apéritif', 'Entrée', 'Charcuterie', 'Viande rouge', 'Viande blanche', 'Champignon', 'Barbecue', 'Cuisine du monde', 'Fromage']",Bouche délicate et persistante sur des saveurs de fruits rouges et de mûre.,Rouge Charnu et fruité,Rouge,16-18°C,Vin,,10.9,Château Moulin Bellegrave 2022,Narassa 2022 - Domaine Lafage,Crozes-Hermitage - Nobles Rives 2022 - Cave de Tain,Château Beaumont - Les Pierrières 2022,images/00001.png
2,Colombard-Sauvignon 2024 - Horgelus,"L'harmonieux mariage du colombard et du sauvignon confère à cette cuvée une fraîcheur et une élégance remarquables, ainsi qu'une sublime expression du fruit. Avec ses notes de fleurs blanches, d'agrumes et de fruits exotiques, elle est idéale pour l'apéritif ou pour accompagner poissons, crustacés et coquillages. C'est la bouteille idéale pour tous les moments de convivialité.","Savoureux mariage du colombard et du sauvignon, cette cuvée incontournable est une pure expression du fruit de ces deux cépages cultivés en Gascogne !",94492-fine_default/colombard-sauvignon-2024-horgelus.png,Horgelus,0.75,11.5,France,Sud-Ouest,Côtes de Gascogne,2024,"['Apéritif', 'Entrée', 'Foie gras', 'Fromage', 'Dessert fruité']",Bouche franchement ronde et fraîche. Finale nette,Blanc Sec souple et fruité,Blanc,10°C,Vin,,6.6,Le Bal des Papillons 2024 - Horgelus,N°3 - Colombard-Sauvignon Blanc 2024 - UBY,Gros-Manseng & Sauvignon 2024 - Horgelus,N°2 - Chardonnay - Chenin Blanc  2024 - UBY,images/00002.png
3,N°3 - Colombard-Sauvignon Blanc 2024 - UBY,"Léger et fruité ! Ce vin blanc aux arômes d'agrumes pamplemousse, citron... est expressif, fin, gouleyant et toujours bien frais. La bouche est délicieuse avec des notes citronnées qui se prolongent sur une belle longueur... A déguster bien frais en apéritif ! Avis aux gourmands : une bouteille ne suffira pas...",La référence incontestable des Côtes de Gascogne. Impossible de passer à côté de ce nectar frais et aromatique au rapport qualité-prix tout simplement incroyable !,98180-fine_default/n3-colombard-sauvignon-blanc-2024-uby.png,UBY,0.75,11.0,France,Sud-Ouest,Côtes de Gascogne,2024,"['Apéritif', 'Poisson', 'Coquillage & Crustacé', 'Viande blanche', 'Cuisine du monde', 'Fromage', 'Dessert fruité']","L’attaque fraîche et ronde, s'ouvre sur un palais gourmand aux notes citronnées. Belle longueur.",,Blanc,10-12°C,Vin,,6.5,Colombard-Sauvignon 2024 - Horgelus,Le Bal des Papillons 2024 - Horgelus,Gros-Manseng & Sauvignon 2024 - Horgelus,N°2 - Chardonnay - Chenin Blanc  2024 - UBY,images/00003.png
4,Rosé 2024 - Horgelus,"C'est un vin savoureux, séduisant à 100 . Fruité, légèrement sucré et frais, bref, on en veut encore. Un petit délice à ne pas manquer et à avoir sous la main à chaque occasion. Avec sa délicieuse intensité, ce rosé est une révélation !",Découvrez un rosé des plus gourmands au rapport qualité prix remarquable.,95662-fine_default/rose-2024-horgelus.png,Horgelus,0.75,11.5,France,Sud-Ouest,Côtes de Gascogne,2024,"['Apéritif', 'Barbecue', 'Cuisine du monde']",Bouche souple et séduisante,Rosé d'apéritif,Rosé,10°C,Vin,,6.2,Dune Gris 2024,Bandol - Les Adrets Rosé 2024 - Moulin de la Roque,Les Pieds dans l'Eau 2024 - Alma Cersius,Miraflors 2024 - Domaine Lafage,images/00004.png
5,Dune Gris 2024,"Dune c'est un rosé qui rend hommage au terroir maritime, d'où son nom qui fait référence au sable dans lequel les vignes sont implantées. Ce rosé plein de fraicheur et de finesse dévoile le savoir faire des vignerons qui ont su dompter ce terroir délicat et unique. Voici une appellation encore peu connue mais qui devient de plus en plus tendance !","Le rosé de Camargue coup de cœur client, millésime après millésime !",96975-fine_default/dune-gris-2024.png,Dune - Caveau les Sablons,0.75,12.5,France,Languedoc-Roussillon,Sable de Camargue,2024,"['Apéritif', 'Poisson', 'Barbecue']",Tendre lisse et rafraîchissante,Rosé d'apéritif,Rosé,8-12°C,Vin,,8.2,Rosé 2024 - Horgelus,Bandol - Les Adrets Rosé 2024 - Moulin de la Roque,Les Pieds dans l'Eau 2024 - Alma Cersius,Miraflors 2024 - Domaine Lafage,images/00005.png
6,Bandol - Les Adrets Rosé 2024 - Moulin de la Roque,"Les Adrets"" Rosé 2024 du Moulin de la Roque est un parfait mélange de cinq terroirs différents, mettant en lumière lélégance du cépage Mourvèdre. Fruitée et légèrement épicée, cette cuvée harmonieuse incarne la complémentarité de ces terroirs. Son équilibre et sa fraîcheur en font un compagnon idéal pour vos repas d'été, des fruits de mer aux viandes grillées. Un Bandol de caractère !","Une pépite de Bandol signée Moulin de la Roque ! Le Bandol Rosé 2024 ""Les Adrets"" séduit par son élégance et sa fraîcheur.",97174-fine_default/bandol-les-adrets-rose-2024-moulin-de-la-roque.png,Moulin de la Roque,0.75,13.5,France,Provence-Alpes-Côte d'Azur,Bandol,2024,"['Apéritif', 'Entrée', 'Poisson', 'Coquillage & Crustacé', 'Viande blanche', 'Cuisine du monde']","Bel équilibre, harmonieux, bonne fraîcheur, belle saveur
fruitée",Rosé de repas,Rosé,8-10°C,Vin,,13.2,Dune Gris 2024,Les Pieds dans l'Eau 2024 - Alma Cersius,Rosé 2024 - Horgelus,Miraflors 2024 - Domaine Lafage,images/00006.png
7,Les Darons 2023 - Jeff Carrel,"Les Darons et Vinatis, c'est une grande histoire! Cette référence a conquis le cœur de nos clients depuis 2016, elle est devenue une cuvée anthologique et ce succès ne s'essouffle pas! La qualité est constante à chaque millésime, sa force est toujours la même: un vin charmeur, franc et soyeux. Les Darons les pères en argot c'est un peu une madeleine de Proust, avec sa dose de générosité et ses notes toastées gourmandes. Un vin gaillard et sûr de lui qui sadresse à ceux qui ont suffisamment de bouteille pour apprécier les bonnes choses de la vie !","Attention BEST-SELLER : les Darons, c'est LE rapport prix-plaisir par excellence !",95886-fine_default/les-darons-2023-jeff-carrel.png,Jeff Carrel,0.75,14.5,France,Languedoc-Roussillon,Languedoc,2023,"['Charcuterie', 'Viande rouge', 'Gibier', 'Champignon', 'Barbecue', 'Fromage']","Bouche généreuse et ronde, puissante et équilibrée.",Rouge Léger et fruité,Rouge,17-18°C,Vin,,8.5,Passo Del Sud Negroamaro Primitivo 2023 - Tagaro,Brouilly - Les Clochers 2023 - Vignerons de Bel Air,Bad Angel - Cabernet Sauvignon 2023 - Vignobles Vellas,Ylirum 2023 - Vega Demara,images/00007.png
8,Les Pieds dans l'Eau 2024 - Alma Cersius,"Cette cuvée ""Les Pieds dans l'Eau"" est un rosé de plaisir, gourmand qui dévoile des arômes de petits fruits rouges. Un rosé tendre, agréable tout en simplicité et en fraîcheur qui accompagnera parfaitement les moments conviviaux, vos vacances à la plage, vos repas entre amis autour d'un barbecue ou d'un apéritif. Faites de ce rosé, le rosé de votre saison d'été, le tout à petit prix !","Les pieds dans l'eau, c'est notre rosé incontournable de la gamme, le chouchou de nos client chaque saison, auréolé de 4 médailles d'OR sur ce millésime 2024 !",97676-fine_default/les-pieds-dans-l-eau-2024-alma-cersius.png,Alma Cersius,0.75,12.5,France,Languedoc-Roussillon,Pays d'Oc,2024,"['Apéritif', 'Viande rouge', 'Viande blanche', 'Volaille', 'Barbecue', 'Cuisine du monde']","Tendre, gouleyant, agréable simplicité aromatique.",Rosé d'apéritif,Rosé,8-10°C,Vin,,7.5,Miraflors 2024 - Domaine Lafage,Sainte Croix - Rosé 2024,Dune Gris 2024,Studio by Miraval 2024,images/00008.png
9,Miraflors 2024 - Domaine Lafage,"Miraflors, présenté dans un joli flacon fermé avec un bouchon en verre recyclable, nous attire avec une belle robe saumonée séduisante. Au nez, il dégage des arômes intenses de fruits rouges framboise, fraise relayés par des notes plus sauvages d'iris et de groseille pour une sensation de fraîcheur immédiate. Les plats aux saveurs de la Méditerranée, se marieront parfaitement avec ce rosé, pour le plus grand plaisir de tous vos convives.","Un rosé aussi bon que beau : chaque année, l'une de nos meilleures ventes de rosé!",95991-fine_default/miraflors-2024-domaine-lafage.png,Domaine Lafage & Château Saint-Roch By Jean-Marc Lafage,0.75,12.5,France,Languedoc-Roussillon,Côtes Catalanes,2024,"['Apéritif', 'Poisson', 'Viande rouge', 'Viande blanche', 'Gibier', 'Barbecue', 'Fromage']",Fruits et épices. Vive en attaque avec une belle rondeur en finale,Rosé d'apéritif,Rosé,8-10°C,Vin,,13.5,Les Pieds dans l'Eau 2024 - Alma Cersius,Sainte Croix - Rosé 2024,Studio by Miraval 2024,Bandol - Les Adrets Rosé 2024 - Moulin de la Roque,images/00009.png
